index,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
544,RANGE_INTERPOLATED,"5758 Sheppard Ave E, Scarborough, ON M1B 5J6, Canada",EjQ1NzU4IFNoZXBwYXJkIEF2ZSBFLCBTY2FyYm9yb3VnaCwgT04gTTFCIDVKNiwgQ2FuYWRh,"5758 Sheppard Ave E, Toronto, Ontario, Canada",43.795786,-79.2319684,1,M1B 5J6,OK,street_address
545,ROOFTOP,"1 Bridgepoint Dr, Toronto, ON M4M 2B5, Canada",ChIJZ7uOzGfL1IkRjPO5erkpawA,"1 Bridgepoint Dr, Toronto, Ontario, Canada",43.6664428,-79.3551541,1,M4M 2B5,OK,street_address
546,ROOFTOP,"205 Cummer Ave, North York, ON M2M 2E8, Canada",ChIJw3CdRhktK4gRgkWMbpgWymw,"205 Cummer Ave, Toronto, Ontario, Canada",43.7881531,-79.4075583,1,M2M 2E8,OK,premise
547,ROOFTOP,"450 Rustic Rd, North York, ON M6L 1W9, Canada",ChIJx2yfe3AxK4gRjbcn6fTg6ns,"450 Rustic Rd, Toronto, Ontario, Canada",43.7174094,-79.4821431,1,M6L 1W9,OK,premise
548,ROOFTOP,"541 Finch Ave W, North York, ON M2R 3Y3, Canada",ChIJd7Ly35ItK4gRuoHR5tUydhE,"541 Finch Ave W, Toronto, Ontario, Canada",43.7708614,-79.4463658,1,M2R 3Y3,OK,street_address
549,ROOFTOP,"1955 Steeles Ave E, North York, ON M2H 3P1, Canada",ChIJNf-OQzbT1IkRvZCSwaNRn_c,"1955 Steeles Ave E, Toronto, Ontario, Canada",43.8077822,-79.3728224,1,M2H 3P1,OK,premise
550,ROOFTOP,"95 Humber College Blvd, Etobicoke, ON M9V 5B5, Canada",ChIJw2ocNlA6K4gR18mFuy1kdWE,"95 Humber College Blvd, Toronto, Ontario, Canada",43.7271674,-79.5965005,1,M9V 5B5,OK,premise
551,ROOFTOP,"306 Finch Ave E, North York, ON M2N 4S5, Canada",ChIJx-LFAyUtK4gRasLR8uoUYe0,"306 Finch Ave E, Toronto, Ontario, Canada",43.7850097,-79.394112,1,M2N 4S5,OK,premise
552,ROOFTOP,"1800 O'Connor Dr, North York, ON M4A 2R4, Canada",ChIJ56kzVMTN1IkRAZAjuZr-Uy0,"1800 O'Connor Dr, Toronto, Ontario, Canada",43.7205513,-79.3049625,1,M4A 2R4,OK,street_address
553,ROOFTOP,"2075 Bayview Ave, Toronto, ON M4N 3M5, Canada",ChIJ9etNjizN1IkRJNnFZ2HvTLY,"2075 Bayview Ave, Toronto, Ontario, Canada",43.7206484,-79.3780573,1,M4N 3M5,OK,premise
